topic,n_reflections,dominant_cluster,n_clusters_present,dominant_pct
"The transferable skill/employability skill topic i will be reflecting over is teamwork. I believe teamwork is one of the skills that has been a focus during this unit, as it is looking over how you contribute with a team, communicate, work effectively with new people, how to work together in a online environment and many more. This skill is very important and crucial as an engineer if you are working in a big project as it can grant you experience with contributing effectively with your partners. I chose this transferable skill as i have noticed occurring a lot during my time with my team and in this unit as well. As it is has been a crucial skill needed for the tasks that we are required to do every week. ",1.0,18.0,1.0,100.0
The transferable skill/employability skill topic that will be reflected on is communication. ,1.0,21.0,1.0,100.0
The transferable skills / employability skill topic I will be reflecting over is the utilisation of brainstorming in order to obtain multiple event ideas for a Rube Goldberg Machine (RGM) and the evaluation of the brainstorming session.,1.0,17.0,1.0,100.0
The transferable skills / employability skill topic I will be reflecting over is the utilisation of time and resource management.,1.0,3.0,1.0,100.0
"The transferable skills I will be reflecting over include working in teams and taking accountability in a team operation, creative thinking as well as time and resource management.",1.0,15.0,1.0,100.0
"The transferable skills/employability skill topic I will be reflecting on is ""The design process phasing and approaches"".",1.0,16.0,1.0,100.0
"The transferable skills/employability skill topic I will be reflecting on is ""Thinking creatively and communicating possibilities"".",1.0,15.0,1.0,100.0
The transferable skills/employability skill topic I will be reflecting over is Creative Thinking.,1.0,17.0,1.0,100.0
The transferable skills/employability skill topic I will be reflecting over is Critical Thinking.,1.0,17.0,1.0,100.0
The transferable skills/employability skill topic I will be reflecting over is communication.,1.0,19.0,1.0,100.0
The transferable skills/employability skills I have gained during the process of the making of the RBM is creative thinking.,1.0,15.0,1.0,100.0
"The transferable/employability skill that i will be reflecting on is ‘Forming effective teams’. 

During this first half of the semester, my group A8 have performed exceptionally well in getting to know each other and working together with each other in order to complete any assigned tasks, as well as gather ideas for our RGM Project.

We all made sure that each and every one of us was participating equally to complete the tasks, by assigning a person with a different role each week (either Minute Taker, Chair Person or Presenter), and also by checking up on each other to see whether or not that task was completed and if they needed any help with their task.

An important factor for all of us to successfully build our relationship as a team was for us to first get-to-know each other. This was approached by creating a Team Charter during our first workshop, in which we listed down our long term goals – such as achieving professionalism within our group, maintaining a positive relationship with each other, becoming better presenters and leaders, and upholding a level of high quality of work throughout the semester as a group – as well as our personal goals that we wanted to accomplish by the end of the unit – which includes: Contributing fairly to the group work, learning new skills professional/interpersonal skills from our team members and actively learning from each other.

By listing down these goals, we were able to all have the same common purpose. This gave us a sense of direction of how we would all work together and gave us responsibilities that we needed to fulfil.

Regularly reviewing our group’s performance during our past workshops with our tutors was also a factor that lead to forming an effective team. After the presenter of our group has presented their work to the tutor room, our Minute Taker would record down the feedback given to us. Along with this feedback, the feedback given for our team reflection and minutes would also be collected and with all of this, we would look over them and discuss how we could improve for the upcoming weeks.

This technique has significantly improved our presentations later on in the semester, as we were more confident and prepared, however, we did not bring as-much significance in this technique for our Minutes. We should have focused more on improving our Minutes for each week, in order to achieve our best possible outcome.

As well as tutor’s feedback, we lacked giving each other constructive criticism. In order for us to maintain being an effective team, it is important to give each other feedback on how we performed during our workshop and during our private weekly meetings. This will allow for all of us to improve our contribution to the group, as well as improve our employability skills for the future (in the workplace environment and in other units at Macquarie University).

Another thing our group could improve on, in order for us to be an effective team, is by giving us each other rewards, or words of compliments. We need to maintain enthusiasm within the upcoming weeks and by complimenting each other, and bringing recognition to the good work that a group member has done, this will no-doubt keep up the enthusiasm and passion will have to complete the RGM Project.

Overall, my group has performed well in showing how we can form an effective team, with our strengths being communication, maintaining a weekly schedule and contributing fairly to the group work.",1.0,-1.0,1.0,100.0
Thinking creatively and communicating possibilities,26.0,17.0,5.0,26.9
Thinking creatively and communicating possibilities.,1.0,15.0,1.0,100.0
Thinking holistically,3.0,15.0,3.0,33.3
This assessment task has developed my creative thinking ability both in the design of the RGM and handling working with a new team. Working with a new team has caused me to have to creatively think of ways we can bond work and handle situations. The RGM task has enabled me to have the opportunity to run wild with ideas and be inspired by the resources I can find available to me ,2.0,19.0,1.0,100.0
"This reflection will be on 'Accountability in a team's operation'. Specifically, this requires the team to follow through on its commitments, to finish projects. on time, and to meet goals/deadlines.",1.0,20.0,1.0,100.0
"This unit has expanded and enhanced almost every skill represented on the professional development PDF. Having already received an internship and thus entering the engineering workforce I take any opportunity to improve my professional skills extremely seriously. In my previous reflection I discussed how my initiative and willingness to make decisions in the face of uncertainty had been significantly improved throughout Engg 1050. Furthermore, I gave insight into how this course has improved my professional behaviour and the need for any individual to understand goals and boundaries. Today I will continue my discussion of the transferable skills that I have gained by demonstrating how I have gained insight into the need for; 

_ACCOUNTABILITY IN A TEAM OPERATION_

This skill has been challenged and enhanced throughout Engg 1050 due to the team nature of our task. This skill is essential in any workplace as it cultivates a team that understands the expectations of the brief while allowing for individual creative expression and aims to improve communication throughout. I strive to continue to improve on my accountability within teams throughout my journey into the workforce and throughout my university course. ",1.0,21.0,1.0,100.0
"Throughout this topic we have learned multiple useful skills that employers will look for. Certainly a major one would be communication and being able to express ones ideas. Another skill would be again from the teamwork aspect, as we had to coordinate group meetings, so we had to learn how to reorganise aspects of our daily life as we were all fairly busy individuals. We also spent a large amount of time brainstorming ideas, and from that we would sort through those and eliminate ones which wouldnt work, and sought to adapt the ones that would to fit the roles we wanted more appropriately.",1.0,-1.0,1.0,100.0
"Throughout this unit a have enhanced almost every skill represented on the professional development pdf, every one in itself a vital aspect of engineers within industry and as an individual who has already actively entered the industry and received and internship I take improving ever one of those aspects extremely seriously. However as i cannot talk about every single one the three main ones I would like to discuss are.

_INITIATIVE AND WILLINGNESS TO MAKE DECISIONS IN THE FACE OF UNCERTAINTY. _

_
_

_PROFESSIONAL BEHAVIOUR.  _

_
_

_AND…_

_UNDERSTANDING NEEDS AND SETTING GOALS. _

_
_

All three of these aspects are essential for me moving into the workforce and are vitally important in being a essential member within a team setting. All three of these I actively work on throughout all of my classes not only ENGG1050 and will continue to develop throughout my university career. ",1.0,-1.0,1.0,100.0
Time Management,1.0,-1.0,1.0,100.0
Time and Resource Management,7.0,3.0,3.0,42.9
Time and Resource Managment,1.0,-1.0,1.0,100.0
Time and resource management,180.0,3.0,15.0,32.2
Time and resource management is an important aspect to reflect upon as it links to many key processes in the innovation process to the end of a project. If neglected upon can be disastrous and if maintained will help easily complete the project.,1.0,12.0,1.0,100.0
Time and resource management.,2.0,3.0,1.0,100.0
Time and resource management ,1.0,13.0,1.0,100.0
"Trade-offs, judgment, and balance in resolution",13.0,3.0,5.0,46.2
"Trade-offs, judgment, and balance in resolution.",1.0,15.0,1.0,100.0
"Transferable skills are vital as they overlap into different industries and occupations and provide beneficial outcomes for individuals. Creating good habits is a transferable skill which can be vital to an individual's development personally and professionally. Throughout ENGG1050 I have grown as an individual based on the habit creating methods discussed by tutors. The adoption of James Clear's - Cue --> Response --> Reward methodology has allowed me to create good habits that have assisted me in becoming more organised, feeling more motivated -- while creating discipline in all realms of life. The philosophy of instant gratification vs delayed gratification has made an impact on the way I now view tasks. Understanding that small changes everyday, even 1%, make a huge difference in the long run has allowed me to trust the process, even when results are instant I can be confident that these small 1% changes will pay off in the long run. This mentality that I am striving to continually improve on is a transferable skill that I can carry through personal and professional envious in the future",1.0,-1.0,1.0,100.0
"Transferable skills are vital as they overlap into different industries and occupations and provide beneficial outcomes for individuals. Creating good habits is a transferable skill which can be vital to an individual's development personally and professionally. Throughout ENGG1050 I have grown as an individual based on the habit creating methods discussed by tutors. The adoption of James Clear's - Cue --> Response --> Reward methodology has allowed me to create good habits that have assisted me in becoming more organised, feeling more motivated -- while creating discipline in all realms of life. The philosophy of instant gratification vs delayed gratification made an impact on the way I now view tasks. Understanding that small changes everyday, even 1%, make a huge difference in the long run has allowed me to trust the process, even when results are instant I can be confident that these small 1% changes will pay off in the long run. This mentality that I am striving to continually improve on is a transferable skill that I can carry through personal and professional envious in the future.",1.0,-1.0,1.0,100.0
Transferable skills/employability skill: Understanding needs and setting goals,1.0,18.0,1.0,100.0
Understanding Needs and Setting Goals,1.0,18.0,1.0,100.0
Understanding everyone's situation and communicating.,1.0,-1.0,1.0,100.0
Understanding needs and setting goals,14.0,6.0,4.0,78.6
"Understanding needs and setting goals

Creating new solution concepts",1.0,-1.0,1.0,100.0
"Understanding needs and setting goals, which is a simple concept that allowed me to progress in my studies that can involve creating multiple small goals for a big task to allow me to satisfy the needs.",1.0,-1.0,1.0,100.0
Understanding needs and setting goals.,1.0,-1.0,1.0,100.0
Understanding our needs and setting our goals.,1.0,-1.0,1.0,100.0
Utilisation of knowledge in design,2.0,6.0,2.0,50.0
Visual communications strategy,3.0,5.0,2.0,66.7
Visual communications strategy and Communications structure,1.0,17.0,1.0,100.0
Week 7 presentation/ Oral Presentation,1.0,5.0,1.0,100.0
"Within ENGG 1050 I feel the key component of the subject is communication and not just the ability to project your message or opinion but the lessons are based on generating a personal branding that you can carry with you as you progress onto your professional career. During the classes, we all demonstrate multiple ways of communicating in a professional, clear and concise manner. This has been done through many different methods from presentation techniques, Branding methods and its importance and interview question techniques.

This subject has highlighted that communication is a vitally important skill that all engineers need to master in order to function within the profession, because no matter how good a person or their ideas are if it is not communicated well then it will be extremely difficult to execute.",1.0,-1.0,1.0,100.0
"Within this reflection, i will be reflecting over the design process phasing & approaches.",1.0,15.0,1.0,100.0
Written communication,7.0,-1.0,6.0,28.6
"_The transferable skills/employability skill I will be reflecting on is 'Conceiving, systems engineering, and management'. In week one, my team and I focused on understanding the needs of the workshop and setting goals on how we will achieve the task (Rube Goldberg project) and sent out a professional email every week. Through weeks 2-6, my team and I focused on defining a function, concept, and architecture, the design process phasing and approaches, disciplinary design, test, verification, validation, and certification, and finally, implementation management. We went through the preliminary design and conceptual design as a team. We decided that the idea behind our project would be, 'Dropping a Berocca Tablet Into Water' and i__n chronological order ,the creative process was, to start rolling a marble to hit a pendulum, which will open the Berocca cap lid and the tablet would fall out of the container, onto a track and then the Berocca rolls down an inclined plane utilising a folder, it’ll then rolls off a benchtop onto a popped open umbrella flyings up to another benchtop. The marble will then roll down a tube, hit a stack of dominoes, and hit another marble which will fall into a water bottle, a soccer ball would hit a toilet paper roll which will, in turn, hit the water bottle causing it to tilt the marble out of the water bottle. The ball then rolls off the benchtop onto the stick of the shovel and declines while swinging off the bottom end of the shovel. The Berocca will fall into a tube/Pipe and simultaneously the marble will spiral down the tube, a ball will hit the coins and roll down the slope, dropping down into the cup and moving the balance. The balance will then release the Berocca. The Berocca rolls down a tube and hits a windmill, the windmill then sends the tablet down. At this stage, the marble will roll down the track hitting a track that is on a rotating bearing to align a path for the Berroca to continue rolling down on. The ball will roll onto a pulley system that causes an object on the other side of the rope to cause dominoes to fall. The dominoes hit a lever pushing a water bottle to fill up a glass while also hitting a ball to then cause the next actions. The marble rolls down to hit a block that is blocking the path to allow the tablet to go through which will eventually fall into a crane of a Lego truck. The marble will then fall onto the remote control of the truck and rotate the crane so that the Berocca can fall into the cup of water._",1.0,15.0,1.0,100.0
"_The transferable skills/employability skill I will be reflecting on is 'Leading engineering endeavors'. Now that we are coming to the end of our ENGG1050 course and are completing our RGM Design, through the weeks, my team and I focused on identifying the various problem or paradoxes that we had and came up with feasible solutions and solution concepts for them. We thought imaginatively and communicated all prospects of our design throughout the way. In week 1, we focused on understanding the aims of the RGM design, and through the next few weeks, from weeks 2 to 11, we focused on brainstorming and deciding our design, the methodologies we would use to get our project running. improvements we could adapt to, verifying and validating our work, trial and error of implementation and recording our videos, coming up with solutions that are efficient, conducting group zoom meetings to help each other, and showcasing equal participation in getting the work done. We worked hard since day one and came up with solutions as a team while growing and learning. _

_My team and I came up with the final design mechanism/creative process: dropping a Berocca tablet into water. How this would work is, a marble would roll down a slope and hit a pendulum which would then hit the Berocca tablet tube, causing the Berocca to fall out of the tube onto a track, the Berocca then rolls down an inclined plane with the help of a folder and will roll off a benchtop onto a popped open umbrella, flying onto another benchtop. The marble at this time will roll down a tube, hit a stack of dominoes, and fall into a water bottle. Then, a soccer ball will hit a toilet paper roll which will in turn hit the water bottle, releasing the marble out of the water bottle. The marble will then roll off a benchtop, and down a shovel. As the next action, the Berocca would roll down a tube, whilst the marble will roll down a spiral. The Berocca then falls onto a tube __rolls down the__ tube and hits a windmill, the __windmill then sends it down. The marble at this point rolls down a track, balanced on a bearing well. The tablet falls onto a pulley system and triggers the dominoes on the other end, when the other end of the pulley is lifted, due to the weight of the marble on the opposite end.  __The water at the end of the domino effect now pivots onto a stick on the bottom of the bottle and falls after a prop gets removed from underneath consequently tipping the water into the glass. __The counterweight that pulls the prop out from under the bottle is a roll of tape that is balanced on the edge. Lastly, t__he marble rolls down the track well and knocks a block out, releasing the Berocca into the water. _",1.0,15.0,1.0,100.0
"communication, brainstorming, and effectively working",1.0,12.0,1.0,100.0
cooperation and successfully working as a team.,1.0,12.0,1.0,100.0
create and brainstorm a ruthgoldberg machine to create ,1.0,15.0,1.0,100.0
engineering and business acumen,4.0,-1.0,3.0,50.0
i wrote about everything that we have done in fix weeks to complete  our task .,1.0,15.0,1.0,100.0
thinking calmly under pressure and failure assessment ,1.0,-1.0,1.0,100.0
unknown,2.0,17.0,2.0,50.0
visual communication strategy,1.0,5.0,1.0,100.0
" The topic of my reflection on for employability and transferrable skills is ""teamwork and communication."". As I consider my teamwork and communication abilities, I'd want to say that it would be quite advantageous for me to develop these abilities. .Due to the fact that my teachers divided up all of the students into groups, my group mates and I are working to construct the Rube Goldberg machine.. we  pretty much started thinking about our project since week one . we divided the work between 6 people as we have six members in our group .My team and I concentrated on establishing a functional conception, and architecture, the phases and methodologies of the design stage, discipline design, test, and evaluation across weeks 2 through 6.Implementation management follows verification, validation, and certification. Together, we proceeded through the conceptual and preliminary designs. after then we finally finalised the idea of out machine .For a total of 12 systems, we decided we will create 2 systems for each person.after that on our mid semester break we started making our machines  individually . we also made a whatsup group in which me and my group members were continually  helping each other . me and my group members faced a lot of problems because of the reliably of the machines .   al though we were facing a lot of problems but managed to get over them by helping each other . ",1.0,-1.0,1.0,100.0
